연도,휘발유,경유,LPG,하이브리드,전기,수소
2019,10960779,9957543,2004730,506047,89918,5083
2020,11410484,9992124,1979407,674461,134962,10906
2021,11759565,9871951,1945674,908240,231443,19404
2022,12069043,9758173,1904860,1170507,389855,29623
2023,12314186,9500164,1832535,1542132,543900,34258
2024,12419660,9100840,1849816,2024481,684244,37930
2025.6,12420428,8851977,1849226,2292067,774878,39140
